text,category,label,proportionEnglish
hoo mammokka police vesham aaha anthas,Positive ,2,0.16666666666666666
Oru rekshayum illa kidilam kannu nananjupoyi,Positive ,2,0.0
Ikka waiting,Positive ,2,0.5
Raju Ettante Oro Shorttum Ijathi ppwli,Positive ,2,0.0
Ettan fansil netti poya aarenkilum undo,Positive ,2,0.16666666666666666
Last aa chadi adi Uff Frm an ettan fan,Positive ,2,0.4444444444444444
heavy mass,Positive ,2,1.0
Pulimurgan 2 adyam oralde thallu Pinne same kattil ottakkulla adi,Mixed_feelings ,1,0.1
Nte ponno oru raksha Illa Ennaaa Trailer,Positive ,2,0.14285714285714285
Mammookka fans like adi Love u ikka,Positive ,2,0.42857142857142855
Oh mass o mass laletta katta waiting Bgm,Positive ,2,0.625
Ith powlichu vaariyitte pooku,Positive ,2,0.0
7 3k dislike adichavanmaarod onne parayanollu OMKV,Negative ,0,0.14285714285714285
June 16 Keralakara ilakki marikkum ikka,Positive ,2,0.16666666666666666
Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni,Mixed_feelings ,1,0.09090909090909091
Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa,Positive ,2,0.3
vaada a otta vili athu mathi athu maathram mathi,Positive ,2,0.1111111111111111
uff ijjathi trailer oru rakshem illa poli,Positive ,2,0.14285714285714285
Nalla polippan school life kanam katta waiting for you Mammukka,Positive ,2,0.5
Feeling sad am studying in punjab ivde release aakuvo,Negative ,0,0.5555555555555556
Telugu padam pole aavaathirunnal mathiyaayirunnu fight okke ethandu athupole thanne,Mixed_feelings ,1,0.2
INI aarum UNDA enna peril kaliyaakkilla oru adaar trailer,Positive ,2,0.2222222222222222
Eee eid ikka ang edutthu ennu paranjekk,Positive ,2,0.0
Ahaa hahaha ha Nte ponnikkka mutheeee,Positive ,2,0.16666666666666666
Pwoolich adhya 3 manikkoor il 30k kku mukalil views,Positive ,2,0.0
Ithin dislike addikunavar lokka tholvikallayirkkum,Positive ,2,0.2
FDFS LOCKED LALETTAN RAJUETTAN uff ejathi,Positive ,2,0.16666666666666666
Feel good movie 2019 le best movie aavum ithu urappu,Positive ,2,0.5
1k dislikes Ella dislike pannikalkum endhe naduviral namskaram,Negative ,0,0.125
2million One day poolumaayillaaaa Iragittt Great lalettaa,Positive ,2,0.42857142857142855
Eante ponnooo romanjam vannu poeonnum parayanilla,Positive ,2,0.0
Eth oru onnonnara padam aavum enn urappullavar like adi,Positive ,2,0.1111111111111111
Surajettan kunjunni mash ayi abhinayichal powlikku m,Positive ,2,0.2857142857142857
Pakka trailer Rajuvettan Brilliance Lalettante all time best character aavum luv u laletta,Positive ,2,0.5384615384615384
Lucifer kandu Eny Ethu Kananam Ohhhh,Positive ,2,0.0
Lalettan fans full support und makkaleee,Positive ,2,0.3333333333333333
Adhikam hype venda,Negative ,0,0.0
Ithu kidukkum,Positive ,2,0.0
Padam 1 st day kaanum athu urappu,Positive ,2,0.2857142857142857
masss effect,Positive ,2,0.5
Arudeyum kaneer oppan vannadhalla njn Pakshe karayikunnavarude thala njn adichu pwolikkum call me hand call me hand full on full power,Positive ,2,0.47619047619047616
Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo,Positive ,2,0.2222222222222222
Costumes Irshad khan Cherukunnuijj Poli mutheeee,Positive ,2,0.16666666666666666
Ithenkilum oru HIT enkilum aayaal mathi padachone adutha PADAKKAM aavalle,Mixed_feelings ,1,0.1
aaa last bhakam marana mass,Positive ,2,0.4
Big B 2 pole und,Mixed_feelings ,1,0.6
