text,category,label,proportionEnglish
Trailer late ah parthavanga like podunga,Positive ,2,0.6666666666666666
Move pathutu vanthu trailer pakurvnga yaru,Positive ,2,0.3333333333333333
Puthupetai dhanush ah yarellam pathinga,Positive ,2,0.4
Dhanush oda character puthu sa erukay mass ta,Positive ,2,0.75
vera level ippa pesungada mokka nu thalaivaaaaaa,Positive ,2,0.42857142857142855
Thala mass U1 bgm Vera level,Positive ,2,0.5
ivara pathta death vadi madiri irukku,Negative ,0,0.16666666666666666
0 28 90 s kids reference Maadila irunthu kudicha Shakthiman kaapathvaaru,Positive ,2,0.18181818181818182
Aiyoo thala mass pannita thala,Positive ,2,0.2
ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,Mixed_feelings ,1,0.0
When Pandey gets up Vandumurugan IM SPEAKING NO CROSS SPEAKING SITTT DOWNNN,Negative ,0,0.5
Remake of Malayalam Mohanlal movie Devadoodhan,Negative ,0,0.5
Tharamaana sirappaana sambavam inimeal ta paaka pora,Positive ,2,0.14285714285714285
Maran kattu kattitamnue verithanam thalivaaàa,Positive ,2,0.0
Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,Positive ,2,0.5
Eppa Saamy thala padathula Vera director pera pakurathu evalo periya santhosama iruku,Positive ,2,0.16666666666666666
En thalaivan vijaysethubathi kaga matume na padam papan matha entha p illa,Mixed_feelings ,1,0.25
Kanithan mugamoodi Neenga nambalainalum ithan nesam,Positive ,2,0.0
Enakku iru mugan trailer gnabagam than varuthu,Positive ,2,0.2857142857142857
ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2 0 MOVIE,Positive ,2,0.6363636363636364
Sakthimaan fans like Sivakarthikeyen fans comment,Mixed_feelings ,1,0.3333333333333333
rajini and akshay fans hit like,Mixed_feelings ,1,0.5
1 hour 1 million likes,Positive ,2,0.4
Raww vana padama iruku all the best,Positive ,2,0.42857142857142855
En da trailer layae ivlo slow motion nah padathula paathi duration slow motion layae mudichirpeenga polayae,Negative ,0,0.5
Thalaiva ungala screen pakkum pothey ippadiiii erukinga na Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Positive ,2,0.125
Rajini ah vida akshay mass ah irukane,Negative ,0,0.42857142857142855
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,Positive ,2,0.4444444444444444
Marana mass marana style marna gethu mass trailer rajinified,Positive ,2,0.4444444444444444
Diwali annante aniyan ullaltha Step back bigil,Mixed_feelings ,1,0.2857142857142857
Dialogue pundaiye puriyala Otha theatre la nacham sound seri pannungada,Negative ,0,0.3
Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,Negative ,0,0.09090909090909091
dei kelthu kuthi ajith ivanya yaru nadika sona nauseated face nauseated face,Negative ,0,0.16666666666666666
Yaaru ivanaa INDHA Kosu Asoorana dei ennada Unga Rasana,Negative ,0,0.0
Namma kitte kaadu iruntha eduthukuvanga Namma kitte roopa iruntha pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu Superb lines,Positive ,2,0.05
Ethukkuda ivlo actors hypo thalaivar padamna avar matumtha irukanum,Positive ,2,0.1111111111111111
Thlaiavaa Thalaivaa Thaliava Thalaivaa Thalaivaa,Positive ,2,0.0
epdi like pottavan Eallarum seathupogada,Mixed_feelings ,1,0.2
ச ுயமாக ச ிந்திக்க த ெரிஞ்சவன் த ான் ச ூப்பர் ஹ ீரோ 100 true in the age information abundance and mass distractions,Positive ,2,0.36363636363636365
Supper dhanush Anna mass waiting asuran,Positive ,2,0.8333333333333334
Vera lvl thalaiva u r great,Positive ,2,0.6666666666666666
Mobile main mera phek dunga iPhone x BARNA aisa problem hoga,Negative ,0,0.45454545454545453
Ellam avan sayal movie mathiriya irukku thinking face thinking face,Mixed_feelings ,1,0.5
Boss you looking so handsome ND young kekaa,Positive ,2,0.75
Pattaya kelapitey Siva Awesome,Mixed_feelings ,1,0.5
Dahaaaaaaa chitii come back I am waiting get ready to 2 0,Mixed_feelings ,1,0.6666666666666666
Boni kapoor sir ini entha update illama ethum release panathinga sir intha chinna pasanga tholla thanga mudiyala,Mixed_feelings ,1,0.23529411764705882
Looks thrilling thala get up super as lawyer dai pandey neeya da,Positive ,2,0.5833333333333334
Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,Negative ,0,0.1
Ena da nadakuthu inga Epaaa sathiyamaa edir pakatha trailer TOTALLY UNIMAGINABLE TRAILER THALIVAR,Positive ,2,0.38461538461538464
1 43 Thala da By thalapathy fan,Positive ,2,0.42857142857142855
Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,Positive ,2,0.6111111111111112
Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,Positive ,2,0.4
Hollywood range la iruku padam Kandipa blockbuster hit Semma story,Mixed_feelings ,1,0.5
But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,Positive ,2,0.4166666666666667
Semmma style rajini sir is back,Positive ,2,0.6666666666666666
My Dear Thala ahhhhhhhhhhhhhh semma GETHU,Positive ,2,0.3333333333333333
Idduke ₹ 500 va tarlam kolla mass,Mixed_feelings ,1,0.14285714285714285
Movie savadi vera level poo thalaivar thalaivar thaa mass,Positive ,2,0.4444444444444444
Super thalaiva Semma mass Intha movie blockbuster thaan FDFS poravanga like pannunga,Positive ,2,0.4166666666666667
92k views 132k likes Fraud,Mixed_feelings ,1,0.2
3 minute trailor vida thil irukkaa bollywood la panranga tamila mudiyuma,Positive ,2,0.18181818181818182
Dai ranjit nee idha parthu film eduka kathuko,Positive ,2,0.25
Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,Positive ,2,0.5294117647058824
Superb Vivek Mervin pinnitinga ponga Ungalukagave padam pakanum,Positive ,2,0.25
Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu,Positive ,2,0.4
1 36 thaa enna look u daa saami That bgm lit,Positive ,2,0.36363636363636365
Guyzz 1m likes vara varaikum vitraadheenga,Positive ,2,0.16666666666666666
Velraj sir thalaivana masss a kamchirukaru vera level u,Positive ,2,0.5555555555555556
U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran u1 kaaga kandipa paakanum,Mixed_feelings ,1,0.07142857142857142
Iam vijay fan kerala and iam waiting super star s petta,Positive ,2,0.5454545454545454
