,text,category,label
0,hoo mammokka police vesham aaha anthas,Positive ,2
1,Oru rekshayum illa kidilam kannu nananjupoyi,Positive ,2
2,Ikka waiting,Positive ,2
3,Raju Ettante Oro Shorttum Ijathi ppwli,Positive ,2
4,Ettan fansil netti poya aarenkilum undo,Positive ,2
5,Last aa chadi adi Uff Frm an ettan fan,Positive ,2
6,heavy mass,Positive ,2
7,Pulimurgan 2 adyam oralde thallu Pinne same kattil ottakkulla adi,Mixed_feelings ,1
8,Nte ponno oru raksha Illa Ennaaa Trailer,Positive ,2
9,Mammookka fans like adi Love u ikka,Positive ,2
10,Oh mass o mass laletta katta waiting Bgm,Positive ,2
11,Ith powlichu vaariyitte pooku,Positive ,2
12,7 3k dislike adichavanmaarod onne parayanollu OMKV,Negative ,0
13,June 16 Keralakara ilakki marikkum ikka,Positive ,2
14,Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni,Mixed_feelings ,1
15,Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa,Positive ,2
16,vaada a otta vili athu mathi athu maathram mathi,Positive ,2
17,uff ijjathi trailer oru rakshem illa poli,Positive ,2
18,Nalla polippan school life kanam katta waiting for you Mammukka,Positive ,2
19,Feeling sad am studying in punjab ivde release aakuvo,Negative ,0
20,Telugu padam pole aavaathirunnal mathiyaayirunnu fight okke ethandu athupole thanne,Mixed_feelings ,1
21,INI aarum UNDA enna peril kaliyaakkilla oru adaar trailer,Positive ,2
22,Eee eid ikka ang edutthu ennu paranjekk,Positive ,2
23,Ahaa hahaha ha Nte ponnikkka mutheeee,Positive ,2
24,Pwoolich adhya 3 manikkoor il 30k kku mukalil views,Positive ,2
25,Ithin dislike addikunavar lokka tholvikallayirkkum,Positive ,2
26,FDFS LOCKED LALETTAN RAJUETTAN uff ejathi,Positive ,2
27,Feel good movie 2019 le best movie aavum ithu urappu,Positive ,2
28,1k dislikes Ella dislike pannikalkum endhe naduviral namskaram,Negative ,0
29,2million One day poolumaayillaaaa Iragittt Great lalettaa,Positive ,2
30,Eante ponnooo romanjam vannu poeonnum parayanilla,Positive ,2
31,Eth oru onnonnara padam aavum enn urappullavar like adi,Positive ,2
32,Surajettan kunjunni mash ayi abhinayichal powlikku m,Positive ,2
33,Pakka trailer Rajuvettan Brilliance Lalettante all time best character aavum luv u laletta,Positive ,2
34,Lucifer kandu Eny Ethu Kananam Ohhhh,Positive ,2
35,Lalettan fans full support und makkaleee,Positive ,2
36,Adhikam hype venda,Negative ,0
37,Ithu kidukkum,Positive ,2
38,Padam 1 st day kaanum athu urappu,Positive ,2
39,masss effect,Positive ,2
40,Arudeyum kaneer oppan vannadhalla njn Pakshe karayikunnavarude thala njn adichu pwolikkum call me hand call me hand full on full power,Positive ,2
41,Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo,Positive ,2
42,Costumes Irshad khan Cherukunnuijj Poli mutheeee,Positive ,2
43,Ithenkilum oru HIT enkilum aayaal mathi padachone adutha PADAKKAM aavalle,Mixed_feelings ,1
44,aaa last bhakam marana mass,Positive ,2
45,Big B 2 pole und,Mixed_feelings ,1
46,LALETTAAA MUTHEE POLICHU,Positive ,2
47,Edhu kondu prethiraj neruthiyal Kollam,Positive ,2
48,Mammotiyude look divasam kudunthorum kodi varikayannallo,Positive ,2
49,Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha,Negative ,0
50,malayala sinimakkoru puthiya charithram pirakkatte,Positive ,2
51,Koora padam,Negative ,0
52,Ennalum ente Idivettu suguna ninne ithilu kandillalo,Negative ,0
53,Oru mikacha thriling movie aavum,Positive ,2
54,Undakku shesham mammookayude adutha natural movie,Positive ,2
55,Jayasurya chyuna a ella characters um pwoliya Shaji pappen,Positive ,2
56,Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum,Positive ,2
57,Ende ammo aa mundu madakki vechulla aa chavitt laletta,Positive ,2
58,Trailer I ll tannaayy full story uondu,Positive ,2
59,Oru BIGB feel aiivaaaaa Pwolichuu,Positive ,2
60,Pinneyum pinneyum kaaaanunnavar like adi Lalatten ishtam,Positive ,2
61,Positive kittiyal pinne parayandallo Ettan fan aaya njan thanme kannu thalli poi bookings kandu,Positive ,2
62,Annum ennum ennum ikka mass star struck star struck grinning face with star eyes star struck star struck grinning face with star eyes smiling face with 3 hearts smiling face with 3 hearts,Positive ,2
