,text,category,label
0,Trailer late ah parthavanga like podunga,Positive ,2
1,Move pathutu vanthu trailer pakurvnga yaru,Positive ,2
2,Puthupetai dhanush ah yarellam pathinga,Positive ,2
3,Dhanush oda character puthu sa erukay mass ta,Positive ,2
4,vera level ippa pesungada mokka nu thalaivaaaaaa,Positive ,2
5,Thala mass U1 bgm Vera level,Positive ,2
6,ivara pathta death vadi madiri irukku,Negative ,0
7,0 28 90 s kids reference Maadila irunthu kudicha Shakthiman kaapathvaaru,Positive ,2
8,Aiyoo thala mass pannita thala,Positive ,2
9,ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,Mixed_feelings ,1
10,When Pandey gets up Vandumurugan IM SPEAKING NO CROSS SPEAKING SITTT DOWNNN,Negative ,0
11,Remake of Malayalam Mohanlal movie Devadoodhan,Negative ,0
12,Tharamaana sirappaana sambavam inimeal ta paaka pora,Positive ,2
13,Maran kattu kattitamnue verithanam thalivaaàa,Positive ,2
14,Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,Positive ,2
15,Eppa Saamy thala padathula Vera director pera pakurathu evalo periya santhosama iruku,Positive ,2
16,En thalaivan vijaysethubathi kaga matume na padam papan matha entha p illa,Mixed_feelings ,1
17,Kanithan mugamoodi Neenga nambalainalum ithan nesam,Positive ,2
18,Enakku iru mugan trailer gnabagam than varuthu,Positive ,2
19,ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2 0 MOVIE,Positive ,2
20,Sakthimaan fans like Sivakarthikeyen fans comment,Mixed_feelings ,1
21,rajini and akshay fans hit like,Mixed_feelings ,1
22,1 hour 1 million likes,Positive ,2
23,Raww vana padama iruku all the best,Positive ,2
24,En da trailer layae ivlo slow motion nah padathula paathi duration slow motion layae mudichirpeenga polayae,Negative ,0
25,Thalaiva ungala screen pakkum pothey ippadiiii erukinga na Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Positive ,2
26,Rajini ah vida akshay mass ah irukane,Negative ,0
27,Thala koda compare panna yarukum thakuthi kidaiyathu mind it,Positive ,2
28,Marana mass marana style marna gethu mass trailer rajinified,Positive ,2
29,Diwali annante aniyan ullaltha Step back bigil,Mixed_feelings ,1
30,Dialogue pundaiye puriyala Otha theatre la nacham sound seri pannungada,Negative ,0
31,Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,Negative ,0
32,dei kelthu kuthi ajith ivanya yaru nadika sona nauseated face nauseated face,Negative ,0
33,Yaaru ivanaa INDHA Kosu Asoorana dei ennada Unga Rasana,Negative ,0
34,Namma kitte kaadu iruntha eduthukuvanga Namma kitte roopa iruntha pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu Superb lines,Positive ,2
35,Ethukkuda ivlo actors hypo thalaivar padamna avar matumtha irukanum,Positive ,2
36,Thlaiavaa Thalaivaa Thaliava Thalaivaa Thalaivaa,Positive ,2
37,epdi like pottavan Eallarum seathupogada,Mixed_feelings ,1
38,ச ுயமாக ச ிந்திக்க த ெரிஞ்சவன் த ான் ச ூப்பர் ஹ ீரோ 100 true in the age information abundance and mass distractions,Positive ,2
39,Supper dhanush Anna mass waiting asuran,Positive ,2
40,Vera lvl thalaiva u r great,Positive ,2
41,Mobile main mera phek dunga iPhone x BARNA aisa problem hoga,Negative ,0
42,Ellam avan sayal movie mathiriya irukku thinking face thinking face,Mixed_feelings ,1
43,Boss you looking so handsome ND young kekaa,Positive ,2
44,Pattaya kelapitey Siva Awesome,Mixed_feelings ,1
45,Dahaaaaaaa chitii come back I am waiting get ready to 2 0,Mixed_feelings ,1
46,Boni kapoor sir ini entha update illama ethum release panathinga sir intha chinna pasanga tholla thanga mudiyala,Mixed_feelings ,1
47,Looks thrilling thala get up super as lawyer dai pandey neeya da,Positive ,2
48,Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,Negative ,0
49,Ena da nadakuthu inga Epaaa sathiyamaa edir pakatha trailer TOTALLY UNIMAGINABLE TRAILER THALIVAR,Positive ,2
50,1 43 Thala da By thalapathy fan,Positive ,2
51,Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,Positive ,2
52,Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,Positive ,2
53,Hollywood range la iruku padam Kandipa blockbuster hit Semma story,Mixed_feelings ,1
54,But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,Positive ,2
55,Semmma style rajini sir is back,Positive ,2
56,My Dear Thala ahhhhhhhhhhhhhh semma GETHU,Positive ,2
57,Idduke ₹ 500 va tarlam kolla mass,Mixed_feelings ,1
58,Movie savadi vera level poo thalaivar thalaivar thaa mass,Positive ,2
59,Super thalaiva Semma mass Intha movie blockbuster thaan FDFS poravanga like pannunga,Positive ,2
60,92k views 132k likes Fraud,Mixed_feelings ,1
61,3 minute trailor vida thil irukkaa bollywood la panranga tamila mudiyuma,Positive ,2
62,Dai ranjit nee idha parthu film eduka kathuko,Positive ,2
63,Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,Positive ,2
64,Superb Vivek Mervin pinnitinga ponga Ungalukagave padam pakanum,Positive ,2
65,Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu,Positive ,2
66,1 36 thaa enna look u daa saami That bgm lit,Positive ,2
67,Guyzz 1m likes vara varaikum vitraadheenga,Positive ,2
68,Velraj sir thalaivana masss a kamchirukaru vera level u,Positive ,2
69,U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran u1 kaaga kandipa paakanum,Mixed_feelings ,1
70,Iam vijay fan kerala and iam waiting super star s petta,Positive ,2
